"Time, t (s)","Force, F (uN)"
27.093,5813.767
27.124,5832.752
27.154,5823.259
27.185,5823.259
27.215,5813.767
27.246,5813.767
27.277,5804.274
27.307,5794.781
27.338,5794.781
27.368,5807.438
27.399,5816.931
27.429,5826.424
27.46,5820.095
27.491,5823.259
27.522,5823.259
27.553,5807.438
27.583,5785.289
27.614,5794.781
27.644,5791.617
27.675,5813.767
27.705,5813.767
27.736,5816.931
27.767,5807.438
27.798,5823.259
27.829,5813.767
27.859,5804.274
27.89,5804.274
27.921,5801.11
27.952,5797.946
27.983,5797.946
28.013,5804.274
28.047,5816.931
28.079,5807.438
28.11,5810.602
28.141,5807.438
28.172,5807.438
28.203,5801.11
28.233,5801.11
28.265,5794.781
28.296,5794.781
28.327,5801.11
28.358,5794.781
28.389,5797.946
28.42,5807.438
28.45,5810.602
28.481,5794.781
28.512,5801.11
28.543,5797.946
28.574,5801.11
28.605,5791.617
28.635,5794.781
28.666,5794.781
28.697,5794.781
28.727,5791.617
28.759,5788.453
28.789,5788.453
28.82,5801.11
28.851,5791.617
28.882,5794.781
28.912,5797.946
28.944,5801.11
28.974,5797.946
29.006,5801.11
29.037,5801.11
29.068,5794.781
29.099,5794.781
29.13,5782.124
29.161,5778.96
29.192,5775.796
29.223,5775.796
29.253,5791.617
29.285,5794.781
29.316,5788.453
29.347,5794.781
29.379,5801.11
29.41,5791.617
29.44,5782.124
29.472,5788.453
29.503,5788.453
29.534,5778.96
29.565,5772.632
29.596,5785.289
29.628,5778.96
29.659,5782.124
29.69,5778.96
29.721,5791.617
29.753,5788.453
29.784,5772.632
29.815,5766.303
29.846,5778.96
29.877,5785.289
29.908,5775.796
29.939,5769.467
29.971,5769.467
30.003,5769.467
30.037,5782.124
30.07,5782.124
30.1,5785.289
30.131,5775.796
30.163,5778.96
30.194,5756.811
30.225,5759.975
30.256,5766.303
30.288,5778.96
30.319,5778.96
30.351,5775.796
30.382,5753.646
30.413,5769.467
30.444,5769.467
30.475,5763.139
30.507,5763.139
30.538,5769.467
30.57,5766.303
30.601,5759.975
30.632,5769.467
30.664,5766.303
30.695,5763.139
30.726,5769.467
30.758,5763.139
30.789,5763.139
30.821,5785.289
30.852,5775.796
30.884,5766.303
30.915,5759.975
30.946,5766.303
30.977,5763.139
31.009,5769.467
31.041,5772.632
31.072,5778.96
31.103,5763.139
31.135,5753.646
31.167,5756.811
31.198,5766.303
31.23,5756.811
31.261,5759.975
31.293,5759.975
31.325,5756.811
31.357,5759.975
31.388,5756.811
31.42,5766.303
31.451,5756.811
31.483,5744.154
31.515,5747.318
31.546,5759.975
31.578,5753.646
31.609,5753.646
31.641,5740.989
31.672,5756.811
31.704,5753.646
31.736,5750.482
31.767,5750.482
31.799,5753.646
31.83,5759.975
31.862,5766.303
31.893,5753.646
31.925,5737.825
31.957,5756.811
31.988,5756.811
32.02,5766.303
32.055,5759.975
32.088,5750.482
32.12,5744.154
32.151,5740.989
32.183,5737.825
32.214,5740.989
32.246,5744.154
32.277,5747.318
32.31,5740.989
32.342,5740.989
32.373,5744.154
32.405,5753.646
32.437,5747.318
32.468,5740.989
32.5,5744.154
32.532,5750.482
32.563,5756.811
32.595,5756.811
32.627,5750.482
32.658,5744.154
32.689,5766.303
32.721,5759.975
32.753,5763.139
32.784,5750.482
32.816,5750.482
32.847,5753.646
32.879,5759.975
32.911,5759.975
32.943,5747.318
32.975,5747.318
33.007,5766.303
33.038,5769.467
33.07,5750.482
33.102,5747.318
33.134,5753.646
33.165,5750.482
33.198,5740.989
33.23,5750.482
33.261,5744.154
33.293,5728.332
33.325,5728.332
33.357,5740.989
33.389,5734.661
33.421,5744.154
33.453,5740.989
33.485,5737.825
33.517,5722.004
33.549,5712.511
33.581,5718.84
33.614,5728.332
33.646,5728.332
33.678,5728.332
33.709,5728.332
33.741,5728.332
33.774,5725.168
33.806,5731.497
33.838,5740.989
33.87,5734.661
33.902,5737.825
33.934,5737.825
33.966,5728.332
33.998,5728.332
34.03,5744.154
34.064,5718.84
34.097,5737.825
34.129,5737.825
34.161,5725.168
34.193,5718.84
34.225,5728.332
34.257,5728.332
34.289,5731.497
34.322,5731.497
34.355,5722.004
34.387,5728.332
34.419,5728.332
34.451,5712.511
34.484,5722.004
34.516,5703.019
34.548,5703.019
34.581,5706.183
34.613,5715.676
34.645,5725.168
34.678,5731.497
34.71,5734.661
34.742,5737.825
34.775,5728.332
34.807,5728.332
34.839,5722.004
34.871,5728.332
34.904,5709.347
34.936,5706.183
34.968,5712.511
35.001,5715.676
35.037,5731.497
35.069,5737.825
35.1,5728.332
35.133,5731.497
35.164,5728.332
35.196,5731.497
35.227,5731.497
35.259,5722.004
35.29,5734.661
35.323,5722.004
35.356,5725.168
35.388,5718.84
35.42,5722.004
35.452,5725.168
35.484,5703.019
35.516,5703.019
35.548,5712.511
35.579,5722.004
35.611,5715.676
35.643,5718.84
35.675,5703.019
35.707,5706.183
35.739,5709.347
35.771,5706.183
35.803,5709.347
35.835,5715.676
35.867,5706.183
35.899,5703.019
35.931,5712.511
35.963,5699.854
35.995,5693.526
