freq,time,overtone,range_used,data_source
-5.1739931423217058E+01,1.6190597623000001E+03,fundamental_freq,x,qcmi_sample
-5.1713536422699690E+01,1.6241087206000000E+03,fundamental_freq,x,qcmi_sample
-5.1723053492605686E+01,1.6291489393000002E+03,fundamental_freq,x,qcmi_sample
-5.1801189333200455E+01,1.6341967878000000E+03,fundamental_freq,x,qcmi_sample
-5.1945260723121457E+01,1.6392563445000001E+03,fundamental_freq,x,qcmi_sample
-5.1911694862879806E+01,1.6443133468000001E+03,fundamental_freq,x,qcmi_sample
-5.1727146122604609E+01,1.6493630446000000E+03,fundamental_freq,x,qcmi_sample
-5.1896307173185050E+01,1.6544031448999999E+03,fundamental_freq,x,qcmi_sample
-5.1826945383101695E+01,1.6594471647000000E+03,fundamental_freq,x,qcmi_sample
-5.1693295963108547E+01,1.6645805760999999E+03,fundamental_freq,x,qcmi_sample
-5.1744680672883995E+01,1.6696293169999999E+03,fundamental_freq,x,qcmi_sample
-5.1720345953479409E+01,1.6746724561000001E+03,fundamental_freq,x,qcmi_sample
-5.1784769983030856E+01,1.6797123348000000E+03,fundamental_freq,x,qcmi_sample
-5.1736831312999129E+01,1.6847594572000000E+03,fundamental_freq,x,qcmi_sample
-5.1772694312967360E+01,1.6898041950000002E+03,fundamental_freq,x,qcmi_sample
-5.1893395722843707E+01,1.6948416069000000E+03,fundamental_freq,x,qcmi_sample
-5.1880338703282177E+01,1.6998906531000000E+03,fundamental_freq,x,qcmi_sample
-5.1911960503086448E+01,1.7049389964000000E+03,fundamental_freq,x,qcmi_sample
-5.1862355433404446E+01,1.7099931773000001E+03,fundamental_freq,x,qcmi_sample
-5.1776691793464131E+01,1.7150525944999999E+03,fundamental_freq,x,qcmi_sample
-5.1738170552998781E+01,1.7201048335999999E+03,fundamental_freq,x,qcmi_sample
-5.1829872912727296E+01,1.7251485677000001E+03,fundamental_freq,x,qcmi_sample
-5.1922160083428025E+01,1.7301956631000000E+03,fundamental_freq,x,qcmi_sample
-5.1935171683318913E+01,1.7352395729000000E+03,fundamental_freq,x,qcmi_sample
-5.1928344182670131E+01,1.7402853578000002E+03,fundamental_freq,x,qcmi_sample
-5.1796493463218205E+01,1.7453181579000000E+03,fundamental_freq,x,qcmi_sample
-5.1648373492993407E+01,1.7503567160000000E+03,fundamental_freq,x,qcmi_sample
-5.1825947782956064E+01,1.7553973790000000E+03,fundamental_freq,x,qcmi_sample
-5.1764716343022883E+01,1.7604473370000001E+03,fundamental_freq,x,qcmi_sample
-5.1835339113138616E+01,1.7654909261000000E+03,fundamental_freq,x,qcmi_sample
-5.1694677692838006E+01,1.7705300038000000E+03,fundamental_freq,x,qcmi_sample
-5.1715563682839282E+01,1.7755694678000000E+03,fundamental_freq,x,qcmi_sample
-5.1898562733083963E+01,1.7806250775999999E+03,fundamental_freq,x,qcmi_sample
-5.1743816372938447E+01,1.7856670188000001E+03,fundamental_freq,x,qcmi_sample
-5.1748639062978327E+01,1.7907017651000001E+03,fundamental_freq,x,qcmi_sample
-5.1902388382703066E+01,1.7957424685000001E+03,fundamental_freq,x,qcmi_sample
-5.1731604972854257E+01,1.8007812084000000E+03,fundamental_freq,x,qcmi_sample
-5.2024739762768149E+01,1.8058212329000000E+03,fundamental_freq,x,qcmi_sample
-5.1872448492795222E+01,1.8108809168000000E+03,fundamental_freq,x,qcmi_sample
-5.1904329523444176E+01,1.8159277122000001E+03,fundamental_freq,x,qcmi_sample
-5.1824011392891407E+01,1.8209728531999999E+03,fundamental_freq,x,qcmi_sample
-5.1829084582626813E+01,1.8260262203000000E+03,fundamental_freq,x,qcmi_sample
-5.1818334963172674E+01,1.8310760422999999E+03,fundamental_freq,x,qcmi_sample
-5.1724996833130717E+01,1.8361260867000001E+03,fundamental_freq,x,qcmi_sample
