Distance_(pixels),Gray_Value
679,130.3333
680,129
681,125
682,129.3333
683,131.6667
684,130.6667
685,129.3333
686,130.6667
687,129.6667
688,128.6667
689,129.6667
690,129.6667
691,127.6667
692,128.3333
693,128.3333
694,129.3333
695,129.3333
696,130.3333
697,128.3333
698,127
699,126
700,127
701,128
702,128.3333
703,127.6667
704,130.3333
705,131.3333
706,128.6667
707,124.6667
708,128.3333
709,131.6667
710,131.6667
711,129.6667
712,127.6667
713,128.3333
714,130.3333
715,131.3333
716,129.3333
717,124.3333
718,127
719,131
720,129.3333
721,124.6667
722,128.6667
723,130.6667
724,131.6667
725,131.3333
726,130.6667
727,131.6667
728,129.3333
729,127
730,126.3333
731,128
732,129
733,129.6667
734,128.6667
735,128.6667
736,127
737,128
738,127
739,129.6667
740,130
741,130
742,130
743,133.3333
744,131.3333
745,130.6667
746,128
747,128
748,128.3333
749,129.3333
750,129
751,130
752,129
753,129
754,128
755,128
756,130
757,130
758,128
759,129
760,129.6667
761,128.6667
762,128.3333
763,132.6667
764,130
765,126
766,128.6667
767,129.6667
768,127.6667
769,127.6667
770,128.6667
771,129.6667
772,128.6667
773,128.6667
774,127.6667
775,127.3333
776,127
777,125.3333
778,127.3333
779,128
780,127
781,125.6667
782,128.6667
783,130.6667
784,127.3333
785,127.3333
786,127.6667
787,127.3333
788,126
789,123
790,124.6667
791,125.6667
792,128.3333
793,129.6667
794,129.6667
795,131.3333
796,129.3333
797,131.6667
798,129
799,122
800,125
801,125
802,126.3333
803,133.3333
804,131.6667
805,128.6667
806,127.6667
807,131.6667
808,128.6667
809,126.6667
810,127.6667
811,128.6667
812,126.6667
813,125.6667
814,130.3333
815,132.3333
816,131.3333
817,130.3333
818,129
819,128.6667
820,125.6667
821,128.6667
822,127.6667
823,127.6667
824,126.6667
825,127.6667
826,128.6667
827,128.6667
828,129
829,127.6667
830,127.6667
831,125.3333
832,127.6667
833,133.6667
834,133
835,129
836,128
837,129.3333
838,127
839,123
840,127.3333
841,129.3333
842,127.6667
843,129.6667
844,132.3333
845,126.3333
846,126
847,124
848,123
849,127
850,128.6667
851,129.6667
852,126.6667
853,128.6667
854,129.6667
855,127.6667
